Date,PRCP,SNOW,099AX,099IN,99EAN,HDD1,CDD1
8/7/1980,0,0,93,69,81,0,16
8/8/1980,0,0,96,73,84.5,0,20
8/9/1980,0,0,96,71,83.5,0,19
8/10/1980,0.25,0,95,70,82.5,0,18
8/11/1980,0.02,0,87,67,77,0,12
8/12/1980,0,0,85,63,74,0,9
8/13/1980,0.19,0,90,61,75.5,0,11
8/14/1980,1.55,0,82,64,73,0,8
8/15/1980,0,0,78,64,71,0,6
8/16/1980,0.65,0,65,60,62.5,2,0
8/17/1980,0.21,0,90,63,76.5,0,12
8/18/1980,0.89,0,83,69,76,0,11
8/19/1980,0,0,91,65,78,0,13
8/20/1980,0,0,92,71,81.5,0,17
8/21/1980,0,0,84,67,75.5,0,11
8/22/1980,0,0,83,61,72,0,7
8/23/1980,0,0,83,58,70.5,0,6
8/24/1980,0,0,83,59,71,0,6
8/25/1980,0,0,86,64,75,0,10
8/26/1980,0,0,90,62,76,0,11
8/27/1980,0,0,93,63,78,0,13
8/28/1980,0,0,93,64,78.5,0,14
8/29/1980,0.1,0,82,66,74,0,9
8/30/1980,0.01,0,88,63,75.5,0,11
8/31/1980,0.15,0,82,71,76.5,0,12
9/1/1980,0.35,0,77,64,70.5,0,6
9/2/1980,1.04,0,81,60,70.5,0,6
9/3/1980,0,0,85,56,70.5,0,6
9/4/1980,0,0,82,65,73.5,0,9
9/5/1980,0.08,0,79,62,70.5,0,6
9/6/1980,0,0,89,64,76.5,0,12
9/7/1980,0.25,0,85,62,73.5,0,9
9/8/1980,0.02,0,89,64,76.5,0,12
9/9/1980,0,0,84,58,71,0,6
9/10/1980,0,0,76,50,63,2,0
9/11/1980,0,0,81,49,65,0,0
9/12/1980,0.05,0,83,59,71,0,6
9/13/1980,0.05,0,88,68,78,0,13
9/14/1980,0,0,75,58,66.5,0,2
9/15/1980,0,0,70,56,63,2,0
9/16/1980,1.42,0,79,56,67.5,0,3
9/17/1980,0.08,0,67,49,58,7,0
9/18/1980,0,0,76,46,61,4,0
9/19/1980,0,0,83,52,67.5,0,3
9/20/1980,0,0,89,60,74.5,0,10
9/21/1980,0,0,89,70,79.5,0,15
9/22/1980,0,0,90,56,73,0,8
9/23/1980,0,0,66,47,56.5,8,0
9/24/1980,0,0,76,45,60.5,4,0
9/25/1980,0,0,76,47,61.5,3,0
9/26/1980,0,0,64,40,52,13,0
9/27/1980,0,0,70,40,55,10,0
9/28/1980,0,0,78,45,61.5,3,0
9/29/1980,0,0,80,48,64,1,0
9/30/1980,0,0,82,51,66.5,0,2
10/1/1980,0.59,0,84,54,69,0,4
10/2/1980,0,0,71,44,57.5,7,0
10/3/1980,0,0,50,39,44.5,20,0
10/4/1980,0,0,54,36,45,20,0
10/5/1980,0,0,58,30,44,21,0
10/6/1980,0,0,68,32,50,15,0
10/7/1980,0,0,75,46,60.5,4,0
10/8/1980,0,0,86,50,68,0,3
10/9/1980,0,0,75,47,61,4,0
10/10/1980,0,0,77,44,60.5,4,0
10/11/1980,0,0,58,39,48.5,16,0
10/12/1980,0,0,55,34,44.5,20,0
10/13/1980,0,0,63,29,46,19,0
10/14/1980,0.09,0,75,46,60.5,4,0
10/15/1980,0,0,71,50,60.5,4,0
10/16/1980,0,0,79,60,69.5,0,5
10/17/1980,0.62,0,68,50,59,6,0
10/18/1980,0,0,61,40,50.5,14,0
10/19/1980,0,0,53,35,44,21,0
10/20/1980,0,0,64,41,52.5,12,0
10/21/1980,0,0,66,45,55.5,9,0
10/22/1980,0,0,63,40,51.5,13,0
10/23/1980,0,0,73,45,59,6,0
10/24/1980,0.39,0,54,40,47,18,0
10/25/1980,0,0,41,32,36.5,28,0
10/26/1980,0,0,41,32,36.5,28,0
10/27/1980,0.51,0,39,31,35,30,0
10/28/1980,0.04,0,43,32,37.5,27,0
10/29/1980,0,0,45,27,36,29,0
10/30/1980,0,0,49,25,37,28,0
10/31/1980,0,0,61,34,47.5,17,0
11/1/1980,0,0,53,36,44.5,20,0
11/2/1980,0,0,60,32,46,19,0
11/3/1980,0,0,69,42,55.5,9,0
11/4/1980,0,0,57,44,50.5,14,0
11/5/1980,0,0,52,32,42,23,0
11/6/1980,0,0,65,32,48.5,16,0
11/7/1980,0,0,71,45,58,7,0
11/8/1980,0,0,63,43,53,12,0
11/9/1980,0,0,67,48,57.5,7,0
11/10/1980,0,0,48,30,39,26,0
11/11/1980,0,0,47,27,37,28,0
11/12/1980,0,0,56,35,45.5,19,0
11/13/1980,0,0,67,40,53.5,11,0
11/14/1980,0.04,0,56,39,47.5,17,0
11/15/1980,0.06,0,41,36,38.5,26,0
11/16/1980,0,0,43,33,38,27,0
11/17/1980,0,0,39,31,35,30,0
11/18/1980,0,0,43,27,35,30,0
11/19/1980,0,0,46,24,35,30,0
11/20/1980,0,0,49,24,36.5,28,0
11/21/1980,0,0,48,29,38.5,26,0
11/22/1980,0,0,50,28,39,26,0
11/23/1980,0.28,0,43,33,38,27,0
11/24/1980,0.03,0,99,29,99,0,0
11/25/1980,0,0,40,24,32,33,0
11/26/1980,0,0,38,22,30,35,0
11/27/1980,1.02,9.1,34,30,32,33,0
11/28/1980,0.2,1.8,36,30,33,32,0
11/29/1980,0,0,41,32,36.5,28,0
11/30/1980,0,0,44,26,35,30,0
12/1/1980,0.01,0,52,40,46,19,0
12/2/1980,0.01,0,54,19,36.5,28,0
12/3/1980,0,0,34,15,24.5,40,0
12/4/1980,0.03,0,38,27,32.5,32,0
12/5/1980,0,0,51,38,44.5,20,0
12/6/1980,0,0,66,48,57,8,0
12/7/1980,0.37,0,59,55,57,8,0
12/8/1980,0.59,0,57,38,47.5,17,0
12/9/1980,0.15,0,38,29,33.5,31,0
12/10/1980,0,0,31,28,29.5,35,0
12/11/1980,0,0,34,25,29.5,35,0
12/12/1980,0,0,55,34,44.5,20,0
12/13/1980,0,0,39,26,32.5,32,0
12/14/1980,0,0,37,25,31,34,0
12/15/1980,0,0,37,29,33,32,0
12/16/1980,0,0,34,25,29.5,35,0
12/17/1980,0,0,37,20,28.5,36,0
12/18/1980,0,0,40,24,32,33,0
12/19/1980,0,0,24,6,15,50,0
12/20/1980,0,0,15,3,9,56,0
12/21/1980,0,0,24,11,17.5,47,0
12/22/1980,0,0,35,15,25,40,0
12/23/1980,0,0,40,30,35,30,0
12/24/1980,0.12,1.3,34,4,19,46,0
12/25/1980,0,0,15,-2,6.5,58,0
12/26/1980,0,0,25,15,20,45,0
12/27/1980,0,0,30,21,25.5,39,0
12/28/1980,0,0,42,17,29.5,35,0
12/29/1980,0.08,0,35,32,33.5,31,0
12/30/1980,0,0,32,30,31,34,0
12/31/1980,0,0,36,32,34,31,0
1/1/1981,0.02,0.3,33,26,29.5,35,0
1/2/1981,0,0,32,20,26,39,0
1/3/1981,0,0,34,9,21.5,43,0
1/4/1981,0,0,15,-1,7,58,0
1/5/1981,0,0,26,4,15,50,0
1/6/1981,0.34,4.2,31,22,26.5,38,0
1/7/1981,0,0,23,4,13.5,51,0
1/8/1981,0.06,1.2,17,7,12,53,0
1/9/1981,0,0,20,4,12,53,0
1/10/1981,0,0,15,1,8,57,0
1/11/1981,0,0,13,2,7.5,57,0
1/12/1981,0,0,28,-1,13.5,51,0
1/13/1981,0,0,33,19,26,39,0
1/14/1981,0.02,0.2,31,26,28.5,36,0
1/15/1981,0,0,31,10,20.5,44,0
1/16/1981,0,0,21,5,13,52,0
1/17/1981,0,0,26,3,14.5,50,0
1/18/1981,0,0,40,21,30.5,34,0
1/19/1981,0,0,45,30,37.5,27,0
1/20/1981,0,0,40,32,36,29,0
1/21/1981,0,0,33,28,30.5,34,0
1/22/1981,0,0,39,27,33,32,0
1/23/1981,0,0,44,30,37,28,0
1/24/1981,0,0,54,29,41.5,23,0
1/25/1981,0,0,53,35,44,21,0
1/26/1981,0,0,44,36,40,25,0
1/27/1981,0,0,43,28,35.5,29,0
1/28/1981,0,0,33,20,26.5,38,0
1/29/1981,0,0,30,13,21.5,43,0
1/30/1981,0,0,30,17,23.5,41,0
1/31/1981,0.2,0,39,15,27,38,0
2/1/1981,0.54,0.5,38,15,26.5,38,0
2/2/1981,0.01,0.2,15,5,10,55,0
2/3/1981,0,0,17,3,10,55,0
2/4/1981,0,0,16,8,12,53,0
2/5/1981,0.02,0.4,28,4,16,49,0
2/6/1981,0,0,33,20,26.5,38,0
2/7/1981,0,0,40,24,32,33,0
2/8/1981,0,0,24,8,16,49,0
2/9/1981,0.06,0.6,35,16,25.5,39,0
2/10/1981,1,7.5,35,12,23.5,41,0
2/11/1981,0.02,0.4,12,-7,2.5,62,0
2/12/1981,0,0,18,-10,4,61,0
2/13/1981,0,0,30,7,18.5,46,0
2/14/1981,0,0,39,16,27.5,37,0
2/15/1981,0,0,44,24,34,31,0
2/16/1981,0.08,0,48,36,42,23,0
2/17/1981,0.02,0,48,41,44.5,20,0
2/18/1981,0,0,60,42,51,14,0
2/19/1981,0,0,60,40,50,15,0
2/20/1981,0,0,59,36,47.5,17,0
2/21/1981,0.05,0,54,31,42.5,22,0
2/22/1981,0.18,0,50,36,43,22,0
2/23/1981,0.2,0,38,32,35,30,0
2/24/1981,0,0,52,33,42.5,22,0
2/25/1981,0,0,54,32,43,22,0
2/26/1981,0,0,47,31,39,26,0
2/27/1981,0.03,0,62,33,47.5,17,0
2/28/1981,0,0,56,36,46,19,0
3/1/1981,0,0,36,31,33.5,31,0
3/2/1981,0,0,38,26,32,33,0
3/3/1981,0,0,41,21,31,34,0
3/4/1981,0.61,1.1,40,32,36,29,0
3/5/1981,0,0,36,29,32.5,32,0
3/6/1981,0,0,38,25,31.5,33,0
3/7/1981,0,0,38,22,30,35,0
3/8/1981,0,0,36,25,30.5,34,0
3/9/1981,0,0,44,28,36,29,0
3/10/1981,0,0,47,30,38.5,26,0
3/11/1981,0,0,44,30,37,28,0
3/12/1981,0,0,64,30,47,18,0
3/13/1981,0,0,50,30,40,25,0
3/14/1981,0,0,50,25,37.5,27,0
3/15/1981,0,0,58,34,46,19,0
3/16/1981,0,0,43,24,33.5,31,0
3/17/1981,0,0,49,24,36.5,28,0
3/18/1981,0.03,0.3,40,20,30,35,0
3/19/1981,0,0,33,24,28.5,36,0
3/20/1981,0,0,47,27,37,28,0
3/21/1981,0,0,52,24,38,27,0
3/22/1981,0,0,51,32,41.5,23,0
3/23/1981,0,0,57,28,42.5,22,0
3/24/1981,0,0,61,38,49.5,15,0
3/25/1981,0,0,60,32,46,19,0
3/26/1981,0,0,69,42,55.5,9,0
3/27/1981,0,0,62,38,50,15,0
3/28/1981,0,0,76,43,59.5,5,0
3/29/1981,0.12,0,65,53,59,6,0
